Constituency,Constituency,Winner[31][32][33][34][35],Winner[31][32][33][34][35],Winner[31][32][33][34][35],Winner[31][32][33][34][35],Winner[31][32][33][34][35],Runner Up,Runner Up,Runner Up,Runner Up,Runner Up,Margin
136,Bhiwandi West,Mahesh Choughule,,BJP,70172,38.65,Riyaj Azmi,,SP,38879,21.41,31293
137,Bhiwandi East,Rais Shaikh,,SP,119687,62.44,Santosh Shetty,,SHS,67672,35.30,52015
138,Kalyan West,Vishwanath Bhoir,,SHS,126020,51.32,Sachin Basare,,SS(UBT),83566,34.03,42454
139,Murbad,Kisan Kathore,,BJP,175509,55.04,Subhash Pawar,,NCP-SP,123117,38.61,52392
140,Ambernath (SC),Balaji Kinikar,,SHS,111368,60.36,Rajesh Wankhede,,SS(UBT),59993,32.52,51375
141,Ulhasnagar,Kumar Ailani,,BJP,82231,52.98,Pappu Kalani,,NCP-SP,51477,33.17,30754
142,Kalyan East,Sulbha Gaikwad,,BJP,81516,42.15,Mahesh Gaikwad,,IND,55108,28.50,26408
143,Dombivali,Ravindra Chavan,,BJP,123815,70.14,Dipesh Mhatre,,SS(UBT),46709,26.46,77106
144,Kalyan Rural,Rajesh More,,SHS,141164,47.68,Pramod Ratan Patil,,MNS,74768,25.26,66396
145,Mira Bhayandar,Narendra Mehta,,BJP,144376,54.87,Muzaffar Hussain,,INC,83943,31.90,60433
146,Ovala-Majiwada,Pratap Sarnaik,,SHS,184178,64.50,Naresh Manera,,SS(UBT),76020,26.62,108158
147,Kopri-Pachpakhadi,Eknath Shinde,,SHS,159060,78.29,Kedar Dighe,,SS(UBT),38343,18.87,120717
148,Thane,Sanjay Kelkar,,BJP,120373,51.85,Rajan Vichare,,SS(UBT),62120,26.76,58253
149,Mumbra-Kalwa,Jitendra Awhad,,NCP-SP,157141,61.93,Najeeb Mulla,,NCP,60913,24.00,96228
150,Airoli,Ganesh Naik,,BJP,144261,54.42,Vijay Chougule,,IND,52381,19.76,91880
151,Belapur,Manda Mhatre,,BJP,91852,39.04,Sandeep Naik,,NCP-SP,91475,38.88,377
Mumbai Suburban,Mumbai Suburban,Mumbai Suburban,Mumbai Suburban,Mumbai Suburban,Mumbai Suburban,Mumbai Suburban,Mumbai Suburban,Mumbai Suburban,Mumbai Suburban,Mumbai Suburban,Mumbai Suburban,Mumbai Suburban
152,Borivali,Sanjay Upadhyay,,BJP,139947,68.57,Sanjay Bhosale,,SS(UBT),39690,19.45,100257
153,Dahisar,Manisha Chaudhary,,BJP,98587,60.64,Vinod Ghosalkar,,SS(UBT),54258,33.37,44329
154,Magathane,Prakash Surve,,SHS,105527,58.15,Udesh Patekar,,SS(UBT),47363,26.10,58164
155,Mulund,Mihir Kotecha,,BJP,131549,71.78,Rakesh Shetty,,INC,41517,22.65,90032
156,Vikhroli,Sunil Raut,,SS(UBT),66093,46.86,Suvarna Karanje,,SHS,50567,35.85,15526
157,Bhandup West,Ashok Patil,,SHS,77754,42.74,Ramesh Korgaonkar,,SS(UBT),70990,39.02,6764
158,Jogeshwari East,Anant Nar,,SS(UBT),77044,43.32,Manisha Waikar,,SHS,75503,42.53,1541
159,Dindoshi,Sunil Prabhu,,SS(UBT),76437,43.03,Sanjay Nirupam,,SHS,70255,39.55,6182
160,Kandivali East,Atul Bhatkhalkar,,BJP,114203,72.39,Kalu Budhelia,,INC,30610,19.40,83593
161,Charkop,Yogesh Sagar,,BJP,127355,69.44,Yashwant Singh,,INC,36201,19.74,91154
162,Malad West,Aslam Shaikh,,INC,98202,49.81,Vinod Shelar,,BJP,91975,46.65,6227
163,Goregaon,Vidya Thakur,,BJP,96364,52.39,Sameer Desai,,SS(UBT),72764,39.56,23600
164,Versova,Haroon Rashid Khan,,SS(UBT),65396,44.21,Bharati Lavekar,,BJP,63796,43.13,1600
165,Andheri West,Ameet Satam,,BJP,84981,54.75,Ashok Jadhav,,INC,65382,42.12,19599
166,Andheri East,Murji Patel,,SHS,94010,55.66,Rutuja Latke,,SS(UBT),68524,40.57,25486
167,Vile Parle,Parag Alavani,,BJP,97259,61.70,Sandeep Raju Naik,,SS(UBT),42324,26.85,54935
168,Chandivali,Dilip Lande,,SHS,124641,51.90,Naseem Khan,,INC,104016,43.31,20625
169,Ghatkopar West,Ram Kadam,,BJP,73171,43.75,Sanjay Bhalerao,,SS(UBT),60200,35.99,12971
170,Ghatkopar East,Parag Shah,,BJP,85388,57.12,Rakhee Jadhav,,NCP-SP,50389,33.71,34999
171,Mankhurd Shivaji Nagar,Abu Azmi,,SP,54780,31.38,Atique Ahmad Khan,,AIMIM,42027,24.07,12753
172,Anushakti Nagar,Sana Malik,,NCP,49341,33.78,Fahad Ahmad,,NCP-SP,45963,31.47,3378
173,Chembur,Tukaram Kate,,SS,63194,44.18,Prakash Phaterpekar,,SS(UBT),52483,36.69,10711
174,Kurla (SC),Mangesh Kudalkar,,SS,72763,46.56,Praveena Morajkar,,SS(UBT),68576,43.88,4187
175,Kalina,Sanjay Potnis,,SS(UBT),59820,46.79,Amarjeet Singh,,BJP,54812,42.87,5008
176,Vandre East,Varun Sardesai,,SS(UBT),57708,42.26,Zeeshan Siddique,,NCP,46343,33.94,11365
177,Vandre West,Ashish Shelar,,BJP,82780,55.51,Asif Zakaria,,INC,62849,42.14,19931
Mumbai City,Mumbai City,Mumbai City,Mumbai City,Mumbai City,Mumbai City,Mumbai City,Mumbai City,Mumbai City,Mumbai City,Mumbai City,Mumbai City,Mumbai City
178,Dharavi (SC),Jyoti Gaikwad,,INC,70727,53.87,Rajesh Khandare,,SHS,47268,36.00,23459
179,Sion Koliwada,R. Tamil Selvan,,BJP,73429,48.25,Ganesh Kumar Yadav,,INC,65534,43.07,7895
180,Wadala,Kalidas Kolambkar,,BJP,66800,55.78,Shraddha Jadhav,,SS(UBT),41827,34.93,24973
181,Mahim,Mahesh Sawant,,SS(UBT),50213,37.31,Sada Sarvankar,,SHS,48897,36.33,1316
182,Worli,Aaditya Thackeray,,SS(UBT),63324,44.19,Milind Deora,,SHS,54523,38.05,8801
183,Shivadi,Ajay Choudhari,,SS(UBT),74890,48.72,Bala Nandgaonkar,,MNS,67750,44.08,7140
184,Byculla,Manoj Jamsutkar,,SS(UBT),80133,58.09,Yamini Jadhav,,SHS,48772,35.36,31361
185,Malabar Hill,Mangal Lodha,,BJP,101197,73.38,Bherulal Choudhary,,SS(UBT),33178,24.06,68019
186,Mumbadevi,Amin Patel,,INC,74990,63.34,Shaina NC,,SHS,40146,33.91,34844
187,Colaba,Rahul Narwekar,,BJP,81085,68.49,Heera Nawaji Devasi,,INC,32504,27.46,48581
Raigad,Raigad,Raigad,Raigad,Raigad,Raigad,Raigad,Raigad,Raigad,Raigad,Raigad,Raigad,Raigad
188,Panvel,Prashant Thakur,,BJP,183931,47.90,Balaram Patil,,PWPI,132840,34.60,51091
189,Karjat,Mahendra Thorve,,SHS,94871,39.53,Sudhakar Ghare,,IND,89177,37.16,5694
190,Uran,Mahesh Baldi,,BJP,95390,36.19,Pritam Mhatre,,PWPI,88878,33.72,6512
191,Pen,Ravisheth Patil,,BJP,124631,55.02,Prasad Dada Bhoir,,SS(UBT),63821,28.17,60810
192,Alibag,Mahendra Dalvi,,SHS,113599,47.73,Chitralekha Patil,,PWPI,84034,35.31,29565
193,Shrivardhan,Aditi Tatkare,,NCP,116050,70.79,Anil Navghane,,NCP-SP,33252,20.28,82798
194,Mahad,Bharatshet Gogawale,,SHS,117442,55.05,Snehal Jagtap,,SS(UBT),91232,42.77,26210
Pune,Pune,Pune,Pune,Pune,Pune,Pune,Pune,Pune,Pune,Pune,Pune,Pune
195,Junnar,Sharaddada Sonavane,,IND,73355,32.43,Satyashil Sherkar,,NCP-SP,66691,29.48,6664
196,Ambegaon,Dilip Walse Patil,,NCP,106888,48.04,Devdutt Nikkam,,NCP-SP,105365,47.35,1523
197,Khed Alandi,Babaji Kale,,SS(UBT),150152,57.88,Dilip Mohite,,NCP,98409,37.94,51743
198,Shirur,Dnyaneshwar Katke,,NCP,192281,59.88,Ashok Pawar,,NCP-SP,117731,36.67,74550
199,Daund,Rahul Kul,,BJP,120721,51.00,Rameshappa Thorat,,NCP-SP,106832,45.14,13889
200,Indapur,Dattatray Bharne,,NCP,117236,44.24,Harshvardhan Patil,,NCP-SP,97826,36.92,19410
201,Baramati,Ajit Pawar,,NCP,181132,66.13,Yugendra Pawar,,NCP-SP,80233,29.29,100899
202,Purandar,Vijay Shivtare,,SHS,125819,44.20,Sanjay Jagtap,,INC,101631,35.71,24188
203,Bhor,Shankar Mandekar,,NCP,126455,43.23,Sangram Thopate,,INC,106817,36.51,19638
204,Maval,Sunil Shelke,,NCP,191255,68.53,Bapu Bhegade,,IND,82690,29.63,108565
205,Chinchwad,Shankar Jagtap,,BJP,235323,60.51,Rahul Kalate,,NCP-SP,131458,33.80,103865
206,Pimpri (SC),Anna Bansode,,NCP,109239,53.71,Sulakshana Dhar,,NCP-SP,72575,35.68,36664
207,Bhosari,Mahesh Landge,,BJP,213624,56.91,Ajit Gavhane,,NCP-SP,149859,39.92,63765
208,Vadgaon Sheri,Bapusaheb Pathare,,NCP-SP,133689,47.07,Sunil Tingre,,NCP,128979,45.41,4710
209,Shivajinagar,Siddharth Shirole,,BJP,84695,55.24,Bahirat Datta,,INC,47993,31.30,36702
210,Kothrud,Chandrakant Patil,,BJP,159234,68.40,Chandrakant Mokate,,INC,47193,20.27,112041
211,Khadakwasala,Bhimrao Tapkir,,BJP,163131,49.94,Sachin Dodke,,NCP-SP,110809,33.92,52322
212,Parvati,Madhuri Misal,,BJP,118193,58.15,Ashwini Kadam,,NCP-SP,63533,31.26,54660
213,Hadapsar,Chetan Tupe,,NCP,134810,42.46,Prashant Jagtap,,NCP-SP,127688,40.22,7122
214,Pune Cantonment (SC),Sunil Kamble,,BJP,76032,48.44,Ramesh Bagwe,,INC,65712,41.86,10320
215,Kasba Peth,Hemant Rasane,,BJP,90046,53.41,Ravindra Dhangekar,,INC,70623,41.89,19423
Ahilyanagar,Ahilyanagar,Ahilyanagar,Ahilyanagar,Ahilyanagar,Ahilyanagar,Ahilyanagar,Ahilyanagar,Ahilyanagar,Ahilyanagar,Ahilyanagar,Ahilyanagar,Ahilyanagar
216,Akole (ST),Kiran Lahamate,,NCP,73958,37.85,Amit Bhangare,,NCP-SP,68402,35.00,5556
217,Sangamner,Amol Khatal,,SHS,112386,50.95,Balasaheb Thorat,,INC,101826,46.16,10560
218,Shirdi,Radhakrishna Vikhe Patil,,BJP,144778,64.79,Prabhavati Ghogare,,INC,74496,33.34,70282
219,Kopargaon,Ashutosh Kale,,NCP,161147,77.46,Sandeep Varpe,,NCP-SP,36523,17.55,124624
220,Shrirampur (SC),Hemant Ogale,,INC,66099,30.22,Bhausaheb Kamble,,SHS,52726,24.10,13373
221,Nevasa,Vitthal Langhe,,SHS,95444,41.91,Shankarrao Gadakh,,SS(UBT),91423,40.15,4021
222,Shevgaon,Monika Rajale,,BJP,99775,37.92,Prataprao Dhakne,,NCP-SP,80732,30.68,19043
223,Rahuri,Shivaji Kardile,,BJP,135859,55.73,Prajakt Tanpure,,NCP-SP,101372,41.58,34487
224,Parner,Kashinath Date,,NCP,113630,45.65,Rani Nilesh Lanke,,NCP-SP,112104,45.03,1526
225,Ahmednagar City,Sangram Jagtap,,NCP,118636,58.12,Abhishek Kalamkar,,NCP-SP,79018,38.71,39618
226,Shrigonda,Vikram Pachpute,,BJP,99820,39.41,Rahul Jagtap,,IND,62664,24.74,37156
227,Karjat Jamkhed,Rohit Pawar,,NCP-SP,127676,48.54,Ram Shinde,,BJP,126433,48.06,1243
Beed,Beed,Beed,Beed,Beed,Beed,Beed,Beed,Beed,Beed,Beed,Beed,Beed
228,Georai,Vijaysinh Pandit,,NCP,116141,41.74,Badamrao Pandit,,SS(UBT),73751,26.50,42390
229,Majalgaon,Prakashdada Solanke,,NCP,66009,27.62,Mohan Jagtap,,NCP-SP,60110,25.15,5899
230,Beed,Sandeep Kshirsagar,,NCP-SP,101874,41.97,Yogesh Kshirsagar,,NCP,96550,39.78,5324
231,Ashti,Suresh Dhas,,BJP,140507,48.99,Bhimrao Dhonde,,IND,62532,21.79,77975
232,Kaij (SC),Namita Mundada,,BJP,117081,47.08,Pruthviraj Sathe,,NCP-SP,114394,46.00,2687
233,Parli,Dhananjay Munde,,NCP,194889,75.97,Rajesaheb Deshmukh,,NCP-SP,54665,21.31,140224
Latur,Latur,Latur,Latur,Latur,Latur,Latur,Latur,Latur,Latur,Latur,Latur,Latur
234,Latur Rural,Ramesh Karad,,BJP,112051,47.59,Dhiraj Deshmukh,,INC,105456,44.79,6595
235,Latur City,Amit Deshmukh,,INC,114110,45.08,Archana Patil Chakurkar,,BJP,106712,42.16,7398
236,Ahmedpur,Babasaheb M. Patil,,NCP,96905,40.09,Vinayakrao Jadhav,,NCP-SP,65236,26.99,31669
237,Udgir (SC),Sanjay Bansode,,NCP,152038,68.97,Sudhakar Bhalerao,,NCP-SP,58824,26.69,93214
238,Nilanga,Sambhaji Patil Nilangekar,,BJP,112368,50.85,Abhay Salunke,,INC,98628,44.63,13740
239,Ausa,Abhimanyu Pawar,,BJP,115590,54.70,Dinkar Mane,,SS(UBT),82128,38.87,33462
Dharashiv[26],Dharashiv[26],Dharashiv[26],Dharashiv[26],Dharashiv[26],Dharashiv[26],Dharashiv[26],Dharashiv[26],Dharashiv[26],Dharashiv[26],Dharashiv[26],Dharashiv[26],Dharashiv[26]
240,Umarga (SC),Pravin Swami,,SS(UBT),96206,48.64,Dnyanraj Chougule,,SHS,92241,46.64,3965
241,Tuljapur,Ranajagjitsinha Patil,,BJP,131863,50.82,Dhiraj Kadam Patil,,INC,94984,36.60,36879
242,Osmanabad,Kailas Patil,,SS(UBT),130573,53.73,Ajit Pingle,,SHS,94007,38.69,36566
243,Paranda,Tanaji Sawant,,SHS,103254,44.18,Rahul Mote,,NCP-SP,101745,43.53,1509
Solapur,Solapur,Solapur,Solapur,Solapur,Solapur,Solapur,Solapur,Solapur,Solapur,Solapur,Solapur,Solapur
244,Karmala,Narayan Patil,,NCP-SP,96091,41.54,Sanjaymama Shinde,,IND,80006,34.59,16085
245,Madha,Abhijeet Patil,,NCP-SP,136559,50.73,Ranjit Shinde,,IND,105938,39.35,30621
246,Barshi,Dilip Sopal,,SS(UBT),122694,49.07,Rajendra Raut,,SHS,116222,46.48,6472
247,Mohol (SC),Raju Khare,,NCP-SP,125838,54.06,Yashwant Mane,,NCP,95636,41.08,30202
248,Solapur City North,Vijay Deshmukh,,BJP,117215,60.89,Mahesh Kothe,,NCP-SP,62632,32.54,54583
249,Solapur City Central,Devendra Kothe,,BJP,110278,54.71,Farooq Makbool Shabdi,,AIMIM,61428,30.48,48850
250,Akkalkot,Sachin Kalyanshetti,,BJP,148105,57.63,Siddharam Mhetre,,INC,98533,38.34,49572
251,Solapur South,Subhash Deshmukh,,BJP,116932,51.75,Amar Ratikant Patil,,SS(UBT),39805,17.62,77127
252,Pandharpur,Samadhan Autade,,BJP,125163,47.71,Bhagirath Bhalake,,INC,116733,44.49,8430
253,Sangola,Babasaheb Deshmukh,,PWPI,116256,44.09,Shahajibapu Patil,,SHS,90870,34.46,25386
254,Malshiras (SC),Uttamrao Jankar,,NCP-SP,121713,50.12,Ram Satpute,,BJP,108566,44.70,13147
Satara,Satara,Satara,Satara,Satara,Satara,Satara,Satara,Satara,Satara,Satara,Satara,Satara
255,Phaltan (SC),Sachin Patil,,NCP,119287,48.77,Dipak Chavan,,NCP-SP,102241,41.80,17046
256,Wai,Makrand Jadhav - Patil,,NCP,140971,59.52,Arunadevi Pisal,,NCP-SP,79579,33.60,61392
257,Koregaon,Mahesh Shinde,,SHS,146166,57.94,Shashikant Shinde,,NCP-SP,101103,40.08,45063
258,Man,Jaykumar Gore,,BJP,150021,57.01,Prabhakar Gharge,,NCP-SP,100346,38.13,49675
259,Karad North,Manoj Ghorpade,,BJP,134626,58.21,Shamrao Pandurang Patil,,NCP-SP,90935,39.32,43691
260,Karad South,Atulbaba Bhosale,,BJP,139505,57.39,Prithviraj Chavan,,INC,100150,41.20,39355
261,Patan,Shambhuraj Desai,,SHS,125759,54.33,Satyajit Patankar,,IND,90935,39.28,34824
262,Satara,Shivendra Raje Bhosale,,BJP,176849,80.36,Amit Genuji Kadam,,SS(UBT),34725,15.78,142124
Ratnagiri,Ratnagiri,Ratnagiri,Ratnagiri,Ratnagiri,Ratnagiri,Ratnagiri,Ratnagiri,Ratnagiri,Ratnagiri,Ratnagiri,Ratnagiri,Ratnagiri
263,Dapoli,Yogesh Kadam,,SHS,105007,53.32,Sanjay Kadam,,SS(UBT),80914,41.09,24093
264,Guhagar,Bhaskar Jadhav,,SS(UBT),71241,47.03,Rajesh Bendal,,SHS,68411,45.16,2830
265,Chiplun,Shekhar Nikam,,NCP,96555,50.15,Prashant Baban Yadav,,NCP-SP,89688,46.58,6867
266,Ratnagiri,Uday Samant,,SHS,111335,59.35,Bal Mane,,SS(UBT),69745,37.18,41590
267,Rajapur,Kiran Samant,,SHS,80256,51.91,Rajan Salvi,,SS(UBT),60579,39.18,19677
Sindhudurg,Sindhudurg,Sindhudurg,Sindhudurg,Sindhudurg,Sindhudurg,Sindhudurg,Sindhudurg,Sindhudurg,Sindhudurg,Sindhudurg,Sindhudurg,Sindhudurg
268,Kankavli,Nitesh Rane,,BJP,108369,66.43,Sandesh Parkar,,SS(UBT),50362,30.87,58007
269,Kudal,Nilesh Rane,,SHS,81659,51.41,Vaibhav Naik,,SS(UBT),73483,46.26,8176
270,Sawantwadi,Deepak Kesarkar,,SHS,81008,48.77,Rajan Teli,,SS(UBT),41109,24.75,39899
Kolhapur,Kolhapur,Kolhapur,Kolhapur,Kolhapur,Kolhapur,Kolhapur,Kolhapur,Kolhapur,Kolhapur,Kolhapur,Kolhapur,Kolhapur
271,Chandgad,Shivaji Patil,,IND,84254,33.96,Rajesh Patil,,NCP,60120,24.24,24134
272,Radhanagari,Prakashrao Abitkar,,SHS,144359,52.87,Krishnarao Parshram,,SS(UBT),106100,38.86,38259
273,Kagal,Hasan Mushrif,,NCP,145269,50.65,Samarjeetsinh Ghatge,,NCP-SP,133688,46.61,11581
274,Kolhapur South,Amal Mahadik,,BJP,148892,52.37,Ruturaj Patil,,INC,131262,46.17,17630
275,Karvir,Chandradip Narke,,SHS,134528,48.25,Rahul Sadolikar,,INC,132552,47.54,1976
276,Kolhapur North,Rajesh Kshirsagar,,SHS,111085,55.80,Rajesh Latkar,,IND,81522,40.95,29563
277,Shahuwadi,Vinay Kore,,JSS,136064,55.68,Satyajit Patil,,SS(UBT),100011,40.93,36053
278,Hatkanangle (SC),Ashokrao Mane,,JSS,134191,51.08,Raju Awale,,INC,87942,33.47,46249
279,Ichalkaranji,Rahul Awade,,BJP,131919,60.27,Madan Karande,,NCP-SP,75108,34.31,56811
280,Shirol,Rajendra Patil Yadravkar,,RSVA,134630,51.95,Ganpatrao Patil,,INC,93814,36.20,40816
Sangli,Sangli,Sangli,Sangli,Sangli,Sangli,Sangli,Sangli,Sangli,Sangli,Sangli,Sangli,Sangli
281,Miraj (SC),Suresh Khade,,BJP,129766,56.70,Tanaji Satpute,,SS(UBT),84571,36.95,45195
282,Sangli,Sudhir Gadgil,,BJP,112498,49.76,Prithviraj Patil,,INC,76363,33.78,36135
283,Islampur,Jayant Patil,,NCP-SP,130738,51.72,Nishikant Bhosale Patil,,NCP,108049,45.59,13027
284,Shirala,Satyajit Deshmukh,,BJP,130738,53.61,Mansing Naik,,NCP-SP,108049,44.31,22689
285,Palus-Kadegaon,Vishwajeet Kadam,,INC,130769,55.88,Sangram Deshmukh,,BJP,100705,43.03,30064
286,Khanapur,Suhas Babar,,SHS,153892,61.14,Vaibhav Patil,,NCP-SP,75711,30.08,78181
287,Tasgaon,Rohit Patil,,NCP-SP,128403,54.09,Sanjaykaka Patil,,NCP,100759,42.45,27644
288,Jath,Gopichand Padalkar,,BJP,113737,53.39,Vikramsinh Sawant,,INC,75497,35.44,38240
